district,sch_code,county,pub_priv,school,enrollment,complete,start_year
OAKLAND UNIFIED,0110254,ALAMEDA,PUBLIC,SANKOFA ACADEMY,57,54,2015
OAKLAND UNIFIED,6002174,ALAMEDA,PUBLIC,SEQUOIA ELEMENTARY,94,92,2015
OAKLAND UNIFIED,0100792,ALAMEDA,PUBLIC,THINK COLLEGE NOW,46,45,2015
OAKLAND UNIFIED,6002216,ALAMEDA,PUBLIC,THORNHILL ELEMENTARY,94,92,2015
OAKLAND UNIFIED,0123711,ALAMEDA,PUBLIC,VINCENT ACADEMY,67,67,2015
PIEDMONT CITY UNIFIED,6002281,ALAMEDA,PUBLIC,BEACH ELEMENTARY,37,35,2015
PIEDMONT CITY UNIFIED,6002299,ALAMEDA,PUBLIC,HAVENS ELEMENTARY,60,56,2015
PIEDMONT CITY UNIFIED,6002307,ALAMEDA,PUBLIC,WILDWOOD ELEMENTARY,38,36,2015
PLEASANTON UNIFIED,6002315,ALAMEDA,PUBLIC,ALISAL ELEMENTARY,101,98,2015
PLEASANTON UNIFIED,6001366,ALAMEDA,PUBLIC,DONLON ELEMENTARY,123,117,2015
PLEASANTON UNIFIED,6002323,ALAMEDA,PUBLIC,FAIRLANDS ELEMENTARY,150,142,2015
PLEASANTON UNIFIED,6114318,ALAMEDA,PUBLIC,HENRY P. MOHR ELEMENTARY,97,96,2015
PLEASANTON UNIFIED,6001416,ALAMEDA,PUBLIC,LYDIKSEN ELEMENTARY,100,96,2015
PLEASANTON UNIFIED,6117600,ALAMEDA,PUBLIC,PHOEBE APPERSON HEARST ELEMENTARY,93,90,2015
PLEASANTON UNIFIED,6002349,ALAMEDA,PUBLIC,VALLEY VIEW ELEMENTARY,125,120,2015
PLEASANTON UNIFIED,6089361,ALAMEDA,PUBLIC,VINTAGE HILLS ELEMENTARY,119,117,2015
PLEASANTON UNIFIED,6002356,ALAMEDA,PUBLIC,WALNUT GROVE ELEMENTARY,116,114,2015
SAN LEANDRO UNIFIED,6002372,ALAMEDA,PUBLIC,GARFIELD ELEMENTARY,67,65,2015
SAN LEANDRO UNIFIED,6002398,ALAMEDA,PUBLIC,JEFFERSON ELEMENTARY,97,96,2015
SAN LEANDRO UNIFIED,6002414,ALAMEDA,PUBLIC,MADISON ELEMENTARY,81,80,2015
SAN LEANDRO UNIFIED,6002422,ALAMEDA,PUBLIC,MCKINLEY ELEMENTARY,102,101,2015
SAN LEANDRO UNIFIED,6002430,ALAMEDA,PUBLIC,MONROE ELEMENTARY,52,51,2015
SAN LEANDRO UNIFIED,6002448,ALAMEDA,PUBLIC,ROOSEVELT ELEMENTARY,77,75,2015
SAN LEANDRO UNIFIED,6002455,ALAMEDA,PUBLIC,WASHINGTON ELEMENTARY,68,65,2015
SAN LEANDRO UNIFIED,6002463,ALAMEDA,PUBLIC,WILSON ELEMENTARY,105,101,2015
SAN LORENZO UNIFIED,6002505,ALAMEDA,PUBLIC,BAY ELEMENTARY,82,78,2015
SAN LORENZO UNIFIED,6002521,ALAMEDA,PUBLIC,COLONIAL ACRES ELEMENTARY,95,92,2015
SAN LORENZO UNIFIED,6002539,ALAMEDA,PUBLIC,CORVALLIS ELEMENTARY,74,73,2015
SAN LORENZO UNIFIED,6002547,ALAMEDA,PUBLIC,DAYTON ELEMENTARY,75,74,2015
SAN LORENZO UNIFIED,6002554,ALAMEDA,PUBLIC,DEL REY ELEMENTARY,79,79,2015
SAN LORENZO UNIFIED,6002604,ALAMEDA,PUBLIC,GRANT ELEMENTARY,60,59,2015
SAN LORENZO UNIFIED,6002612,ALAMEDA,PUBLIC,HESPERIAN ELEMENTARY,109,109,2015
SAN LORENZO UNIFIED,6002620,ALAMEDA,PUBLIC,HILLSIDE ELEMENTARY,86,81,2015
SAN LORENZO UNIFIED,6002653,ALAMEDA,PUBLIC,LORENZO MANOR ELEMENTARY,104,104,2015
SUNOL GLEN UNIFIED,6002711,ALAMEDA,PUBLIC,SUNOL GLEN ELEMENTARY,37,33,2015
,7082266,ALAMEDA,PRIVATE,ACTS CHRISTIAN ACADEMY,30,30,2015
,6965909,ALAMEDA,PRIVATE,ALL SAINTS CATHOLIC SCHOOL,27,25,2015
,6135743,ALAMEDA,PRIVATE,AMERICAN INTERNATIONAL MONTESSORI SCHOOL,20,19,2015
,6972574,ALAMEDA,PRIVATE,ASSUMPTION,29,29,2015
,7071632,ALAMEDA,PRIVATE,AURORA SCHOOL,23,19,2015
,6967475,ALAMEDA,PRIVATE,BENTLEY,34,31,2015
,6142236,ALAMEDA,PRIVATE,BERKELEY ROSE SCHOOL,28,5,2015
,6972723,ALAMEDA,PRIVATE,BERKWOOD HEDGE,13,8,2015
,6989784,ALAMEDA,PRIVATE,BLACK PINE CIRCLE SCHOOL,16,15,2015
,6972624,ALAMEDA,PRIVATE,CALVARY LUTHERAN ELEMENTARY,13,13,2015
,7091234,ALAMEDA,PRIVATE,CHALLENGER - NEWARK,58,56,2015
,7055411,ALAMEDA,PRIVATE,CHALLENGERâ€“ARDENWOOD,114,112,2015
,6204697,ALAMEDA,PRIVATE,CHINESE CHRISTIAN SCHOOLSâ€“ALAMEDA,47,47,2015
,6140735,ALAMEDA,PRIVATE,CORNERSTONE CHRISTIAN ACADEMY,,,2015
